Date,Quarter,Month,Region,Country,Product_Category,Product,Salesperson,Customer_Segment,Deal_Stage,Units,Unit_Price,Revenue,Cost,Profit,Discount_Pct,Customer_Satisfaction
2024-01-01,Q1 2024,Jan,Latin America,Brazil,Software,Cloud Suite,Pedro Morales,SMB,Closed Lost,10,1765.31,11915.84,7468.05,4447.79,10.0,3.1
2024-01-01,Q1 2024,Jan,Europe,France,Subscriptions,Basic Plan,Sophie Dupont,SMB,Closed Won,159,50.4,8220.75,5338.12,2882.63,2.3,4.1
2024-01-01,Q1 2024,Jan,North America,Canada,Software,Cloud Suite,Sarah Chen,Education,Proposal,39,2225.13,84285.14,49655.62,34629.52,22.3,4.9
2024-01-02,Q1 2024,Jan,North America,USA,Software,Security Pro,Mike Johnson,SMB,Proposal,29,646.67,19184.76,12411.75,6773.01,7.0,3.8
2024-01-02,Q1 2024,Jan,Europe,France,Hardware,Networking Kit,Sophie Dupont,SMB,Closed Won,44,846.6,36922.6,26871.61,10050.99,5.6,4.2
2024-01-03,Q1 2024,Jan,Asia Pacific,India,Software,Security Pro,Raj Patel,Education,Closed Won,33,771.19,19290.55,11702.42,7588.13,24.2,3.8
2024-01-04,Q1 2024,Jan,Asia Pacific,India,Services,Implementation,Yuki Tanaka,Education,Lead,156,210.51,32787.02,25913.51,6873.51,23.2,4.2
2024-01-05,Q1 2024,Jan,Asia Pacific,Japan,Hardware,Server Rack,Yuki Tanaka,SMB,Closed Won,64,3666.92,295324.94,219291.37,76033.57,3.2,4.3
2024-01-05,Q1 2024,Jan,Asia Pacific,Australia,Subscriptions,Enterprise Plan,Raj Patel,SMB,Proposal,32,442.54,13099.18,8467.32,4631.86,7.5,3.4
2024-01-05,Q1 2024,Jan,Asia Pacific,India,Hardware,Laptop Pro,Yuki Tanaka,SMB,Qualified,42,2092.06,106573.3,81431.48,25141.82,6.7,3.6
2024-01-05,Q1 2024,Jan,Latin America,Mexico,Software,Security Pro,Ana Gutierrez,Enterprise,Lead,32,571.21,16870.34,10111.21,6759.13,12.1,3.7
2024-01-05,Q1 2024,Jan,Asia Pacific,Japan,Services,Training,Yuki Tanaka,SMB,Closed Won,24,80.12,2497.24,1809.81,687.43,0.1,4.1
2024-01-05,Q1 2024,Jan,Asia Pacific,Australia,Subscriptions,Professional Plan,Liam Zhang,SMB,Qualified,43,189.08,6871.03,3786.21,3084.82,6.1,3.1
2024-01-05,Q1 2024,Jan,Asia Pacific,Japan,Hardware,Desktop Plus,Liam Zhang,SMB,Closed Won,89,1453.36,111873.98,86188.07,25685.91,3.9,3.2
2024-01-05,Q1 2024,Jan,Asia Pacific,Japan,Software,Cloud Suite,Raj Patel,Enterprise,Lead,41,1762.63,60704.98,36736.17,23968.81,16.0,3.4
2024-01-06,Q1 2024,Jan,Asia Pacific,Japan,Services,Support,Liam Zhang,Enterprise,Lead,32,143.83,3139.87,2423.18,716.69,24.2,3.9
2024-01-06,Q1 2024,Jan,North America,Canada,Hardware,Server Rack,Elena Rodriguez,Government,Closed Won,100,4731.41,358333.34,277050.36,81282.98,10.9,3.7
2024-01-06,Q1 2024,Jan,North America,Canada,Software,Security Pro,Mike Johnson,SMB,Negotiation,40,795.81,32984.73,18409.65,14575.08,5.8,3.5
2024-01-08,Q1 2024,Jan,Europe,France,Subscriptions,Basic Plan,Hans Mueller,SMB,Qualified,415,60.68,29493.39,18538.98,10954.41,2.4,4.4
2024-01-08,Q1 2024,Jan,North America,USA,Software,Security Pro,Elena Rodriguez,Education,Qualified,10,504.61,3469.95,2006.09,1463.86,19.1,4.1
2024-01-08,Q1 2024,Jan,Europe,UK,Hardware,Server Rack,Hans Mueller,Enterprise,Qualified,46,4858.42,232248.02,174470.64,57777.38,13.4,3.8
2024-01-08,Q1 2024,Jan,Europe,France,Software,Security Pro,Hans Mueller,Government,Closed Lost,14,829.6,11595.82,7079.19,4516.63,16.8,3.9
2024-01-08,Q1 2024,Jan,North America,USA,Hardware,Server Rack,Mike Johnson,Enterprise,Proposal,49,4134.65,176503.25,130863.0,45640.25,20.8,3.6
2024-01-08,Q1 2024,Jan,Asia Pacific,India,Services,Consulting,Yuki Tanaka,SMB,Lead,55,246.26,17501.94,13747.66,3754.28,0.6,3.8
2024-01-10,Q1 2024,Jan,North America,USA,Subscriptions,Basic Plan,Sarah Chen,Government,Negotiation,26,64.14,1711.42,972.74,738.68,17.9,4.1
2024-01-10,Q1 2024,Jan,Europe,Germany,Software,Data Platform,James Clarke,SMB,Lead,14,3195.86,33753.39,19390.76,14362.63,5.7,3.2
2024-01-11,Q1 2024,Jan,Asia Pacific,Australia,Software,Security Pro,Liam Zhang,Education,Closed Won,40,1007.41,30572.88,19238.5,11334.38,15.7,3.9
2024-01-11,Q1 2024,Jan,North America,Canada,Services,Implementation,Sarah Chen,SMB,Negotiation,97,748.91,87808.76,70942.98,16865.78,3.3,4.0
2024-01-11,Q1 2024,Jan,Europe,UK,Hardware,Desktop Plus,James Clarke,Education,Qualified,71,1532.62,71557.41,51101.65,20455.76,17.8,3.9
2024-01-11,Q1 2024,Jan,North America,USA,Services,Support,Mike Johnson,Government,Lead,116,390.09,46888.51,34783.67,12104.84,5.8,3.7
2024-01-12,Q1 2024,Jan,Europe,Germany,Software,Data Platform,Sophie Dupont,SMB,Proposal,33,2943.99,93338.47,54834.51,38503.96,8.5,4.6
2024-01-13,Q1 2024,Jan,Europe,France,Services,Support,Sophie Dupont,SMB,Proposal,155,120.29,18422.14,13252.24,5169.9,5.9,3.6
2024-01-13,Q1 2024,Jan,Asia Pacific,Australia,Software,Security Pro,Yuki Tanaka,SMB,Lead,27,1258.82,42505.57,27242.39,15263.18,3.8,4.8
